shot_id,title_cn,title_en,duration,status,package,notes
SHOT001,晨灯亮起,The Dawn Lamp Ignites,4.0,READY_FOR_VIDEO,Package001_Opening,A weathered brass industrial street lamp slowly warms from deep red to orange to amber before stabilizing.
SHOT002,木板被踩下,The Board Is Stepped On,3.0,READY_FOR_VIDEO,Package001_Opening,A worn leather boot gently presses a raised wet wooden plank flat and continues walking.
SHOT003,灰港苏醒,Gray Harbor Wakes,8.0,READY_FOR_VIDEO,Package001_Opening,"Gray Harbor wakes: soup shop steam, lamp repair stall, coal cart, workers, wet cobblestones."
SHOT004,祁昼第一次出现,Qi Zhou First Appears,6.0,READY_FOR_VIDEO,Package001_Opening,"Qi Zhou walks naturally through the street carrying an old wooden-brass collection box, unnoticed."
SHOT005,停下,The Pause,5.0,READY_FOR_VIDEO,Package001_Opening,Qi Zhou gradually slows near the old alley entrance while everyone else keeps moving.
SHOT006,风进入旧货巷,Wind Enters the Alley,4.0,READY_FOR_VIDEO,Package001_Opening,"Cold wind pushes old paper into a dark narrow alley; no people, only steam and silence."
SHOT007,尸体显现,The Body Appears,5.0,READY_FOR_VIDEO,Package002_Old_Alley,A worker sits against the alley wall as if asleep; Qi Zhou notices from a respectful distance.
SHOT008,整理袖口,Last Dignity,4.0,READY_FOR_VIDEO,Package002_Old_Alley,Qi Zhou gently adjusts the dead worker's sleeve and badge before starting work.
SHOT009,采梦盒打开,Dream Box Opens,4.0,READY_FOR_VIDEO,Package002_Old_Alley,A worn wooden-and-brass dream collection box opens; an old silver needle rests inside.
SHOT010,银针靠近,Silver Needle,5.0,READY_FOR_VIDEO,Package002_Old_Alley,Qi Zhou carefully brings the silver needle near the worker's ear with clinical restraint.
SHOT011,白梦凝结,White Dream Forms,6.0,READY_FOR_VIDEO,Package002_Old_Alley,A thin white dream thread condenses into a clear crystal inside the box.
SHOT012,蓝色出现,Blue Appears,5.0,READY_FOR_VIDEO,Package002_Old_Alley,"A faint blue trace appears inside the clear dream crystal, subtle and impossible."
SHOT013,祁昼停住,Qi Zhou Freezes,4.0,READY_FOR_VIDEO,Package002_Old_Alley,Qi Zhou's hands stop for the first time; his expression remains controlled.
SHOT014,巷口脚步,Footsteps at Alley Mouth,4.0,READY_FOR_VIDEO,Package002_Old_Alley,Distant footsteps approach the alley entrance while Qi Zhou closes the box.
SHOT015,离开旧货巷,Leaving the Alley,5.0,READY_FOR_VIDEO,Package002_Old_Alley,Qi Zhou exits the alley with the box hidden close to his coat.
SHOT016,采梦站外,Collection Station Exterior,5.0,READY_FOR_VIDEO,Package003_Station,The 13th District dream collection station sits between pipes and old signage.
SHOT017,编号木架,Numbered Shelves,4.0,READY_FOR_VIDEO,Package003_Station,"Rows of numbered wooden shelves hold old dream boxes, each repaired and labeled."
SHOT018,老人看见蓝色,Old Man Sees Blue,5.0,READY_FOR_VIDEO,Package003_Station,The old station worker opens the box and sees the faint blue trace.
SHOT019,手颤,Trembling Hand,3.0,READY_FOR_VIDEO,Package003_Station,The old man's hand trembles above the dream crystal.
SHOT020,未登记,No Registration,5.0,READY_FOR_VIDEO,Package003_Station,A registration pen hovers above a blank line but never writes.
SHOT021,锁入柜下,Locked Below Counter,4.0,READY_FOR_VIDEO,Package003_Station,The old man locks the box below the counter instead of registering it.
SHOT022,不要告诉任何人,Do Not Tell Anyone,5.0,READY_FOR_VIDEO,Package003_Station,The old man quietly warns Qi Zhou not to tell anyone today.
SHOT023,祁昼离开采梦站,Qi Zhou Leaves Station,5.0,READY_FOR_VIDEO,Package003_Station,Qi Zhou leaves the station more quietly than he entered.
SHOT024,登记簿留白,Blank Ledger,4.0,READY_FOR_VIDEO,Package003_Station,The open ledger shows one blank space where a record should be.
SHOT025,站内恢复平静,Station Returns to Normal,5.0,READY_FOR_VIDEO,Package003_Station,"The station resumes normal rhythm, but the hidden box remains below the counter."
SHOT026,行政中心,Administrative Center,5.0,READY_FOR_VIDEO,Package004_Investigation,"A cleaner, colder administrative office contrasts with Gray Harbor's damp streets."
SHOT027,系统异常,System Anomaly,4.0,READY_FOR_VIDEO,Package004_Investigation,A dull terminal flags a missing dream collection record.
SHOT028,电话拨出,Internal Call,4.0,READY_FOR_VIDEO,Package004_Investigation,A clerk dials an internal line after the anomaly persists.
SHOT029,闻雪衡出场,Wen Xueheng Appears,5.0,READY_FOR_VIDEO,Package004_Investigation,Wen Xueheng receives the call while sorting an old sealed case file.
SHOT030,Case-13,Case-13,4.0,READY_FOR_VIDEO,Package004_Investigation,A thin file marked Case-13 lies briefly visible on Wen's desk.
SHOT031,地图图钉,Map Pin,4.0,READY_FOR_VIDEO,Package004_Investigation,Wen places a white pin on District 13 on a wall map.
SHOT032,登记缺失,Missing Record,4.0,READY_FOR_VIDEO,Package004_Investigation,The words 'missing registration' are written beside Qi Zhou's route.
SHOT033,问卖汤铺,Soup Shop Question,5.0,READY_FOR_VIDEO,Package004_Investigation,Wen asks indirect questions near the soup shop while the owner protects Qi Zhou with silence.
SHOT034,问修灯铺,Lamp Repair Detail,5.0,READY_FOR_VIDEO,Package004_Investigation,The lamp repairman recalls the wind changing near the old alley.
SHOT035,闻雪衡走向十三区,Wen Walks to District 13,5.0,READY_FOR_VIDEO,Package004_Investigation,"Wen walks through the damp district with precise, restrained focus."
SHOT036,河堤,River Embankment,5.0,READY_FOR_VIDEO,Package005_Choice,Qi Zhou sits alone on a gray river embankment under a pale sunless sky.
SHOT037,木盒在身边,Box Beside Him,4.0,READY_FOR_VIDEO,Package005_Choice,The wooden-brass box sits beside Qi Zhou on the damp concrete.
SHOT038,再次打开,Open Again,4.0,READY_FOR_VIDEO,Package005_Choice,"Qi Zhou opens the box again, careful and hesitant."
SHOT039,蓝色更深,Blue Deepens,5.0,READY_FOR_VIDEO,Package005_Choice,The blue trace inside the crystal is slightly deeper than before.
SHOT040,没有碰,He Does Not Touch It,4.0,READY_FOR_VIDEO,Package005_Choice,Qi Zhou reaches toward the crystal but stops before touching it.
SHOT041,采梦站检查员,Inspector Arrives,5.0,READY_FOR_VIDEO,Package005_Choice,An inspector enters the collection station with routine authority.
SHOT042,老人撒谎,The Old Man Lies,5.0,READY_FOR_VIDEO,Package005_Choice,The old man calmly says the item was damaged and needs reprocessing.
SHOT043,第一次选择,First Choice,5.0,READY_FOR_VIDEO,Package005_Choice,"Qi Zhou stands, hides the box inside his coat, and chooses not to return to the station."
SHOT044,回家方向,Toward Home,5.0,READY_FOR_VIDEO,Package005_Choice,Qi Zhou walks away from the station route and toward home.
