shot_id,package,title_cn,title_en,duration,lens,camera,core_action
SHOT001,Package001_Opening,晨灯亮起,The Dawn Lamp Ignites,4.0,24mm,locked tripod,A weathered brass industrial street lamp slowly warms from deep red to orange to amber before stabilizing.
SHOT002,Package001_Opening,木板被踩下,The Board Is Stepped On,3.0,35mm,low close-up,A worn leather boot gently presses a raised wet wooden plank flat and continues walking.
SHOT003,Package001_Opening,灰港苏醒,Gray Harbor Wakes,8.0,35mm,wide locked,"Gray Harbor wakes: soup shop steam, lamp repair stall, coal cart, workers, wet cobblestones."
SHOT004,Package001_Opening,祁昼第一次出现,Qi Zhou First Appears,6.0,50mm,medium-wide static,"Qi Zhou walks naturally through the street carrying an old wooden-brass collection box, unnoticed."
SHOT005,Package001_Opening,停下,The Pause,5.0,85mm,long lens static,Qi Zhou gradually slows near the old alley entrance while everyone else keeps moving.
SHOT006,Package001_Opening,风进入旧货巷,Wind Enters the Alley,4.0,70mm,locked,"Cold wind pushes old paper into a dark narrow alley; no people, only steam and silence."
SHOT007,Package002_Old_Alley,尸体显现,The Body Appears,5.0,85mm,static medium-long,"A worker sits against the alley wall as if asleep; Qi Zhou notices from a respectful distance."
SHOT008,Package002_Old_Alley,整理袖口,Last Dignity,4.0,85mm,medium close,Qi Zhou gently adjusts the dead worker's sleeve and badge before starting work.
SHOT009,Package002_Old_Alley,采梦盒打开,Dream Box Opens,4.0,100mm macro,macro static,A worn wooden-and-brass dream collection box opens; an old silver needle rests inside.
SHOT010,Package002_Old_Alley,银针靠近,Silver Needle,5.0,100mm macro,macro static,Qi Zhou carefully brings the silver needle near the worker's ear with clinical restraint.
SHOT011,Package002_Old_Alley,白梦凝结,White Dream Forms,6.0,100mm macro,macro locked,A thin white dream thread condenses into a clear crystal inside the box.
SHOT012,Package002_Old_Alley,蓝色出现,Blue Appears,5.0,100mm macro,macro locked,"A faint blue trace appears inside the clear dream crystal, subtle and impossible."
SHOT013,Package002_Old_Alley,祁昼停住,Qi Zhou Freezes,4.0,85mm close,static close,"Qi Zhou's hands stop for the first time; his expression remains controlled."
SHOT014,Package002_Old_Alley,巷口脚步,Footsteps at Alley Mouth,4.0,50mm,static over-shoulder,Distant footsteps approach the alley entrance while Qi Zhou closes the box.
SHOT015,Package002_Old_Alley,离开旧货巷,Leaving the Alley,5.0,50mm,rear static,Qi Zhou exits the alley with the box hidden close to his coat.
SHOT016,Package003_Station,采梦站外,Collection Station Exterior,5.0,35mm,locked wide,The 13th District dream collection station sits between pipes and old signage.
SHOT017,Package003_Station,编号木架,Numbered Shelves,4.0,50mm,slow push,"Rows of numbered wooden shelves hold old dream boxes, each repaired and labeled."
SHOT018,Package003_Station,老人看见蓝色,Old Man Sees Blue,5.0,85mm,static close,The old station worker opens the box and sees the faint blue trace.
SHOT019,Package003_Station,手颤,Trembling Hand,3.0,100mm macro,macro locked,The old man's hand trembles above the dream crystal.
